fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|2731000000|5000000||15000000|-279000000|960000000|1066000000|-224000000|-55000000|1603000000|-957000000|-1273000000|101000000|667000000|667000000||662000000|662000000||7000000|8000000||-660000000||||1550000000|LIN
2024-06-30|USD|1929000000|13000000||-328000000|69000000|958000000|1133000000|61000000|-4000000|1700000000|-1270000000|-808000000|-705000000|1440000000|1440000000||665000000|665000000||5000000|2372000000||-1435000000||||1663000000|LIN
2024-03-31|USD|1954000000|11000000||-65000000|438000000|949000000|1048000000|361000000|27000000|1665000000|-1041000000|-668000000|-631000000|1041000000|1041000000||669000000|669000000||16000000|2456000000||-1025000000||||1627000000|LIN
2023-12-31|USD|2727000000|2666000000||100000000|-116000000|949000000|1151000000|-83000000|2000000|1576000000|-1226000000|-780000000|799000000|1033000000|1033000000||616000000|616000000||8000000|65000000||-1025000000||||1543000000|LIN
2023-09-30|USD|2520000000|10000000||190000000|-36000000|959000000|948000000|-6000000|40000000|1601000000|-946000000|-964000000|871000000|1158000000|1158000000||620000000|620000000||4000000|8000000||-1154000000||||1565000000|LIN
2023-06-30|USD|2150000000|15000000||-394000000|104000000|960000000|859000000|44000000|26000000|1612000000|-864000000|-2892000000|-2315000000|908000000|908000000||623000000|623000000||8000000|2055000000||-900000000||-1606000000||1575000000|LIN
2023-03-31|USD|1908000000|10000000||-64000000|195000000|948000000|829000000|131000000|59000000|1552000000|-1634000000|-764000000|1199000000|859000000|859000000||623000000|623000000||13000000|60000000||-846000000||-490000000||1516000000|LIN
2022-12-31|USD|2095000000|2166000000||-69000000|-56000000|956000000|936000000|-149000000|47000000|1361000000|-881000000|390000000|821000000|690000000|690000000||586000000|586000000||12000000|919000000||-678000000||||1328000000|LIN
2022-09-30|USD|2636000000|25000000||306000000|173000000|1045000000|762000000|29000000|156000000|1300000000|-700000000|-1720000000|57000000|1149000000|1149000000||581000000|581000000||2000000|0||-1147000000||216000000||1273000000|LIN
2022-06-30|USD|2133000000|6000000||19000000|328000000|1091000000|826000000|203000000|109000000|410000000|-842000000|-2003000000|756000000|1610000000|1610000000||585000000|585000000||12000000|-5000000||-1598000000||-712000000||372000000|LIN
2022-03-31|USD|2000000000|13000000||51000000|482000000|1112000000|649000000|340000000|35000000|1210000000|-665000000|244000000|1416000000|1719000000|1719000000||592000000|592000000||10000000|2296000000||-1709000000||1579000000||1174000000|LIN
2021-12-31|USD|3233000000|2279000000||316000000|-35000000|1135000000|839000000|14000000|52000000|1056000000|-876000000|-4217000000|-1698000000|1361000000|1361000000||541000000|541000000||11000000|23000000||-1350000000||6155000000||1026000000|LIN
2021-09-30|USD|2556000000|47000000||92000000|191000000|1163000000|741000000|151000000|35000000|1010000000|-671000000|-256000000|-712000000|1169000000|1169000000||546000000|546000000||7000000|2209000000||-1162000000||2173000000||979000000|LIN
2021-06-30|USD|1827000000|53000000||-30000000|148000000|1171000000|744000000|210000000|-18000000|877000000|-709000000|-2145000000|377000000|1214000000|1214000000||549000000|549000000||15000000|17000000||-1199000000||2048000000||841000000|LIN
2021-03-31|USD|2109000000|71000000||69000000|302000000|1166000000|762000000|178000000|60000000|1018000000|-751000000|-970000000|704000000|868000000|868000000||553000000|553000000||17000000|34000000||-851000000||388000000||980000000|LIN
2020-12-31|USD|2434000000|1780000000||121000000|-341000000|1192000000|1027000000|-95000000|-119000000|804000000|-1007000000|-2967000000|-956000000|427000000|427000000||505000000|505000000||6000000|33000000||-421000000||62000000||770000000|LIN
2020-09-30|USD|1884000000|82000000||15000000|-72000000|1168000000|787000000|-42000000|19000000|731000000|-732000000|-933000000|209000000|202000000|202000000||506000000|506000000||16000000|1107000000||-186000000||1899000000||700000000|LIN
2020-06-30|USD|1764000000|74000000||156000000|-15000000|1124000000|783000000|9000000|20000000|483000000|-634000000|-204000000|-1204000000|0|0||506000000|506000000||12000000|1640000000||12000000||1607000000||458000000|LIN
2020-03-31|USD|1347000000|81000000||-183000000|263000000|1142000000|803000000|109000000|62000000|608000000|-613000000|759000000|3149000000|1828000000|1828000000||511000000|511000000||13000000|16000000||-1815000000||2790000000||573000000|LIN
2019-12-31|USD|655000000|1814000000||237000000|-83000000|1162000000|1015000000|-110000000|20000000|538000000|-944000000|-700000000|455000000|724000000|724000000||469000000|469000000||12000000|44000000||-712000000||655000000||511000000|LIN
2019-09-30|USD|1750000000|82000000||-164000000|-181000000|1095000000|959000000|-158000000|-12000000|737000000|-709000000|-1652000000|-220000000|684000000|684000000||471000000|471000000||5000000|10000000||-679000000||1750000000||735000000|LIN
2019-06-30|USD|1661000000|85000000||-216000000|170000000|1195000000|865000000|132000000|41000000|551000000|380000000|-4434000000|522000000|525000000|525000000||474000000|474000000||27000000|23000000||-498000000||1661000000||522000000|LIN
2019-03-31|USD|1170000000|18000000||-31000000|167000000|1223000000|843000000|56000000|32000000|553000000|2402000000|-2206000000|-533000000|725000000|725000000||477000000|477000000||28000000|22000000||-697000000||1376000000||517000000|LIN
2018-12-31|USD|3236000000|1041000000||282392766|85000000|902000000|827000000|3000000|-25000000|2953000000|5363000000|-5002812761|330000000|597000000|597000000||454000000|454000000||7000000|3187239||-590000000||3985979920|-59997124|2978000000|LIN
2018-09-30|USD|-2958789805|7000000||10607234|-132000000|306000000|380000000|-26000000|19000000|480000000|607000000|949812761|-135000000|1000000|1000000||238000000|238000000||26000000|4812761||25000000||-1401979920||461000000|LIN
2018-06-30|USD|689000000|6000000||61000000|29000000|311000000|351000000|65000000|8000000|498000000|-289000000|-516000000|-275000000||||237000000|237000000||15000000|||14000000||689000000||480000000|LIN
2018-03-31|USD|653000000|4000000||-67000000|103000000|311000000|325000000|82000000|2000000|471000000|-318000000|-429000000|288000000||||237000000|237000000||29000000|||29000000||653000000||462000000|LIN
2017-12-31|USD|0|||1248321||307000000|339000000||-11000000|-1129181|-1314000000|-473000000|||||226000000|226000000|||||-1000000||-1129181||33000000|LIN
2017-09-30|USD|-290825|||||298000000|320000000||-6000000|-290825|-331000000|-403000000|||||225000000|225000000|||||-195000000||-290825||419000000|LIN
